"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 23 13:04:05 UTC 2025","Tue Sep 23 13:04:06 UTC 2025","507","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"passed","Tue Sep 23 13:04:03 UTC 2025","Tue Sep 23 13:04:05 UTC 2025","2807","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Tue Sep 23 13:04:03 UTC 2025","Tue Sep 23 13:04:05 UTC 2025","2751","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Tue Sep 23 13:04:05 UTC 2025","Tue Sep 23 13:04:06 UTC 2025","497","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Tue Sep 23 13:04:05 UTC 2025","Tue Sep 23 13:04:06 UTC 2025","485","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Tue Sep 23 13:04:03 UTC 2025","Tue Sep 23 13:04:05 UTC 2025","2752","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
