"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 09 17:26:57 UTC 2025","Tue Sep 09 17:26:59 UTC 2025","2060","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Tue Sep 09 17:26:59 UTC 2025","Tue Sep 09 17:27:00 UTC 2025","561","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Tue Sep 09 17:26:59 UTC 2025","Tue Sep 09 17:27:00 UTC 2025","556","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"passed","Tue Sep 09 17:26:57 UTC 2025","Tue Sep 09 17:26:59 UTC 2025","2101","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Tue Sep 09 17:26:59 UTC 2025","Tue Sep 09 17:27:00 UTC 2025","558","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Tue Sep 09 17:26:57 UTC 2025","Tue Sep 09 17:26:59 UTC 2025","2063","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
