"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 07 13:02:02 UTC 2025","Sun Dec 07 13:02:02 UTC 2025","244","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"broken","Sun Dec 07 13:02:02 UTC 2025","Sun Dec 07 13:02:02 UTC 2025","244","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"broken","Sun Dec 07 13:02:00 UTC 2025","Sun Dec 07 13:02:02 UTC 2025","2018","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"broken","Sun Dec 07 13:02:00 UTC 2025","Sun Dec 07 13:02:02 UTC 2025","2018","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"broken","Sun Dec 07 13:02:00 UTC 2025","Sun Dec 07 13:02:02 UTC 2025","2012","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"broken","Sun Dec 07 13:02:02 UTC 2025","Sun Dec 07 13:02:02 UTC 2025","245","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
