"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 22 12:59:17 UTC 2025","Sat Nov 22 12:59:20 UTC 2025","2323","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Sat Nov 22 12:59:20 UTC 2025","Sat Nov 22 12:59:20 UTC 2025","495","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Sat Nov 22 12:59:20 UTC 2025","Sat Nov 22 12:59:20 UTC 2025","480","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Sat Nov 22 12:59:20 UTC 2025","Sat Nov 22 12:59:20 UTC 2025","484","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Sat Nov 22 12:59:17 UTC 2025","Sat Nov 22 12:59:20 UTC 2025","2323","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"passed","Sat Nov 22 12:59:17 UTC 2025","Sat Nov 22 12:59:20 UTC 2025","2385","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
