"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 13 13:08:47 UTC 2025","Thu Nov 13 13:08:48 UTC 2025","508","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Thu Nov 13 13:08:45 UTC 2025","Thu Nov 13 13:08:47 UTC 2025","2161","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"passed","Thu Nov 13 13:08:45 UTC 2025","Thu Nov 13 13:08:47 UTC 2025","2223","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Thu Nov 13 13:08:47 UTC 2025","Thu Nov 13 13:08:48 UTC 2025","516","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Thu Nov 13 13:08:47 UTC 2025","Thu Nov 13 13:08:48 UTC 2025","527","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Thu Nov 13 13:08:45 UTC 2025","Thu Nov 13 13:08:47 UTC 2025","2161","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
