"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 16 13:12:25 UTC 2025","Tue Dec 16 13:12:25 UTC 2025","441","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Tue Dec 16 13:12:25 UTC 2025","Tue Dec 16 13:12:25 UTC 2025","453","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"passed","Tue Dec 16 13:12:23 UTC 2025","Tue Dec 16 13:12:25 UTC 2025","2152","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Tue Dec 16 13:12:23 UTC 2025","Tue Dec 16 13:12:25 UTC 2025","2087","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Tue Dec 16 13:12:23 UTC 2025","Tue Dec 16 13:12:25 UTC 2025","2087","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Tue Dec 16 13:12:25 UTC 2025","Tue Dec 16 13:12:25 UTC 2025","475","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
