"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 11 12:57:28 UTC 2025","Sat Oct 11 12:57:29 UTC 2025","565","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Sat Oct 11 12:57:28 UTC 2025","Sat Oct 11 12:57:29 UTC 2025","570","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Sat Oct 11 12:57:26 UTC 2025","Sat Oct 11 12:57:28 UTC 2025","2603","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Sat Oct 11 12:57:26 UTC 2025","Sat Oct 11 12:57:28 UTC 2025","2601","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"passed","Sat Oct 11 12:57:26 UTC 2025","Sat Oct 11 12:57:28 UTC 2025","2649","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Sat Oct 11 12:57:28 UTC 2025","Sat Oct 11 12:57:29 UTC 2025","546","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
