"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 20 13:39:04 UTC 2026","Fri Feb 20 13:39:05 UTC 2026","497","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Fri Feb 20 13:39:02 UTC 2026","Fri Feb 20 13:39:04 UTC 2026","2267","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Fri Feb 20 13:39:04 UTC 2026","Fri Feb 20 13:39:04 UTC 2026","506","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Fri Feb 20 13:39:04 UTC 2026","Fri Feb 20 13:39:04 UTC 2026","517","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Fri Feb 20 13:39:02 UTC 2026","Fri Feb 20 13:39:04 UTC 2026","2268","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"passed","Fri Feb 20 13:39:02 UTC 2026","Fri Feb 20 13:39:04 UTC 2026","2348","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
