"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 06 13:07:31 UTC 2025","Thu Nov 06 13:07:34 UTC 2025","2854","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Thu Nov 06 13:07:34 UTC 2025","Thu Nov 06 13:07:35 UTC 2025","488","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Thu Nov 06 13:07:34 UTC 2025","Thu Nov 06 13:07:35 UTC 2025","475","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Thu Nov 06 13:07:31 UTC 2025","Thu Nov 06 13:07:34 UTC 2025","2856","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"passed","Thu Nov 06 13:07:31 UTC 2025","Thu Nov 06 13:07:34 UTC 2025","2925","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Thu Nov 06 13:07:34 UTC 2025","Thu Nov 06 13:07:35 UTC 2025","496","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
