"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 21 13:05:08 UTC 2025","Sun Dec 21 13:05:09 UTC 2025","480","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"passed","Sun Dec 21 13:05:06 UTC 2025","Sun Dec 21 13:05:08 UTC 2025","2080","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Sun Dec 21 13:05:06 UTC 2025","Sun Dec 21 13:05:08 UTC 2025","2023","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Sun Dec 21 13:05:06 UTC 2025","Sun Dec 21 13:05:08 UTC 2025","2024","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Sun Dec 21 13:05:08 UTC 2025","Sun Dec 21 13:05:09 UTC 2025","496","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Sun Dec 21 13:05:08 UTC 2025","Sun Dec 21 13:05:09 UTC 2025","487","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
