"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 15 13:27:00 UTC 2026","Sun Feb 15 13:27:00 UTC 2026","516","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Sun Feb 15 13:27:00 UTC 2026","Sun Feb 15 13:27:00 UTC 2026","542","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Sun Feb 15 13:26:58 UTC 2026","Sun Feb 15 13:27:00 UTC 2026","2147","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Sun Feb 15 13:26:58 UTC 2026","Sun Feb 15 13:27:00 UTC 2026","2148","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"passed","Sun Feb 15 13:26:58 UTC 2026","Sun Feb 15 13:27:00 UTC 2026","2217","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Sun Feb 15 13:27:00 UTC 2026","Sun Feb 15 13:27:00 UTC 2026","532","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
