"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 10 13:07:48 UTC 2025","Mon Nov 10 13:07:49 UTC 2025","503","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Mon Nov 10 13:07:46 UTC 2025","Mon Nov 10 13:07:48 UTC 2025","2087","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Mon Nov 10 13:07:46 UTC 2025","Mon Nov 10 13:07:48 UTC 2025","2087","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"passed","Mon Nov 10 13:07:46 UTC 2025","Mon Nov 10 13:07:48 UTC 2025","2144","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Mon Nov 10 13:07:48 UTC 2025","Mon Nov 10 13:07:49 UTC 2025","482","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Mon Nov 10 13:07:48 UTC 2025","Mon Nov 10 13:07:49 UTC 2025","503","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
