"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 15 13:07:03 UTC 2025","Wed Oct 15 13:07:03 UTC 2025","614","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Wed Oct 15 13:07:01 UTC 2025","Wed Oct 15 13:07:03 UTC 2025","2161","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Wed Oct 15 13:07:03 UTC 2025","Wed Oct 15 13:07:03 UTC 2025","596","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"passed","Wed Oct 15 13:07:01 UTC 2025","Wed Oct 15 13:07:03 UTC 2025","2230","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Wed Oct 15 13:07:01 UTC 2025","Wed Oct 15 13:07:03 UTC 2025","2159","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Wed Oct 15 13:07:03 UTC 2025","Wed Oct 15 13:07:03 UTC 2025","611","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
