"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Nov 01 12:59:52 UTC 2025","Sat Nov 01 12:59:53 UTC 2025","449","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Sat Nov 01 12:59:52 UTC 2025","Sat Nov 01 12:59:53 UTC 2025","427","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Sat Nov 01 12:59:50 UTC 2025","Sat Nov 01 12:59:52 UTC 2025","2517","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"passed","Sat Nov 01 12:59:50 UTC 2025","Sat Nov 01 12:59:52 UTC 2025","2565","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Sat Nov 01 12:59:52 UTC 2025","Sat Nov 01 12:59:53 UTC 2025","450","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Sat Nov 01 12:59:50 UTC 2025","Sat Nov 01 12:59:52 UTC 2025","2517","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
