"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 18 13:06:30 UTC 2026","Sun Jan 18 13:06:30 UTC 2026","491","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Sun Jan 18 13:06:28 UTC 2026","Sun Jan 18 13:06:30 UTC 2026","2288","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Sun Jan 18 13:06:28 UTC 2026","Sun Jan 18 13:06:30 UTC 2026","2288","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Sun Jan 18 13:06:30 UTC 2026","Sun Jan 18 13:06:30 UTC 2026","481","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"passed","Sun Jan 18 13:06:28 UTC 2026","Sun Jan 18 13:06:30 UTC 2026","2344","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Sun Jan 18 13:06:30 UTC 2026","Sun Jan 18 13:06:30 UTC 2026","482","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
