"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 14 13:22:22 UTC 2026","Wed Jan 14 13:22:24 UTC 2026","2180","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"passed","Wed Jan 14 13:22:22 UTC 2026","Wed Jan 14 13:22:24 UTC 2026","2264","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Wed Jan 14 13:22:24 UTC 2026","Wed Jan 14 13:22:24 UTC 2026","492","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Wed Jan 14 13:22:22 UTC 2026","Wed Jan 14 13:22:24 UTC 2026","2181","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Wed Jan 14 13:22:24 UTC 2026","Wed Jan 14 13:22:24 UTC 2026","491","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Wed Jan 14 13:22:24 UTC 2026","Wed Jan 14 13:22:24 UTC 2026","519","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
