"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 28 12:58:03 UTC 2025","Sun Sep 28 12:58:04 UTC 2025","601","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Sun Sep 28 12:58:03 UTC 2025","Sun Sep 28 12:58:04 UTC 2025","609","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Sun Sep 28 12:58:01 UTC 2025","Sun Sep 28 12:58:03 UTC 2025","2287","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Sun Sep 28 12:58:01 UTC 2025","Sun Sep 28 12:58:03 UTC 2025","2287","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Sun Sep 28 12:58:03 UTC 2025","Sun Sep 28 12:58:04 UTC 2025","623","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"passed","Sun Sep 28 12:58:01 UTC 2025","Sun Sep 28 12:58:03 UTC 2025","2362","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
