"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 21 13:26:00 UTC 2026","Wed Jan 21 13:26:02 UTC 2026","2103","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Wed Jan 21 13:26:02 UTC 2026","Wed Jan 21 13:26:02 UTC 2026","485","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Wed Jan 21 13:26:00 UTC 2026","Wed Jan 21 13:26:02 UTC 2026","2105","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Wed Jan 21 13:26:02 UTC 2026","Wed Jan 21 13:26:02 UTC 2026","504","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Wed Jan 21 13:26:02 UTC 2026","Wed Jan 21 13:26:02 UTC 2026","484","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"passed","Wed Jan 21 13:26:00 UTC 2026","Wed Jan 21 13:26:02 UTC 2026","2177","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
