"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 28 13:06:33 UTC 2025","Fri Nov 28 13:06:35 UTC 2025","1877","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Fri Nov 28 13:06:35 UTC 2025","Fri Nov 28 13:06:35 UTC 2025","501","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"passed","Fri Nov 28 13:06:33 UTC 2025","Fri Nov 28 13:06:35 UTC 2025","1923","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Fri Nov 28 13:06:35 UTC 2025","Fri Nov 28 13:06:35 UTC 2025","514","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Fri Nov 28 13:06:33 UTC 2025","Fri Nov 28 13:06:35 UTC 2025","1876","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Fri Nov 28 13:06:35 UTC 2025","Fri Nov 28 13:06:35 UTC 2025","500","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
