"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 16 13:00:33 UTC 2025","Sun Nov 16 13:00:35 UTC 2025","2165","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Sun Nov 16 13:00:35 UTC 2025","Sun Nov 16 13:00:35 UTC 2025","459","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Sun Nov 16 13:00:33 UTC 2025","Sun Nov 16 13:00:35 UTC 2025","2169","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Sun Nov 16 13:00:35 UTC 2025","Sun Nov 16 13:00:35 UTC 2025","474","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"passed","Sun Nov 16 13:00:33 UTC 2025","Sun Nov 16 13:00:35 UTC 2025","2215","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Sun Nov 16 13:00:35 UTC 2025","Sun Nov 16 13:00:35 UTC 2025","470","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
