"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 26 13:00:17 UTC 2025","Sun Oct 26 13:00:18 UTC 2025","467","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Sun Oct 26 13:00:14 UTC 2025","Sun Oct 26 13:00:17 UTC 2025","2675","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Sun Oct 26 13:00:17 UTC 2025","Sun Oct 26 13:00:18 UTC 2025","471","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Sun Oct 26 13:00:17 UTC 2025","Sun Oct 26 13:00:18 UTC 2025","453","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"passed","Sun Oct 26 13:00:14 UTC 2025","Sun Oct 26 13:00:17 UTC 2025","2737","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Sun Oct 26 13:00:14 UTC 2025","Sun Oct 26 13:00:17 UTC 2025","2675","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
