"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 11 13:01:51 UTC 2025","Thu Sep 11 13:01:52 UTC 2025","598","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"passed","Thu Sep 11 13:01:48 UTC 2025","Thu Sep 11 13:01:51 UTC 2025","3112","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Thu Sep 11 13:01:51 UTC 2025","Thu Sep 11 13:01:52 UTC 2025","578","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Thu Sep 11 13:01:48 UTC 2025","Thu Sep 11 13:01:51 UTC 2025","3057","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Thu Sep 11 13:01:48 UTC 2025","Thu Sep 11 13:01:51 UTC 2025","3057","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Thu Sep 11 13:01:51 UTC 2025","Thu Sep 11 13:01:52 UTC 2025","609","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
