"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 19 13:26:23 UTC 2026","Mon Jan 19 13:26:25 UTC 2026","2126","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Mon Jan 19 13:26:25 UTC 2026","Mon Jan 19 13:26:25 UTC 2026","500","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Mon Jan 19 13:26:25 UTC 2026","Mon Jan 19 13:26:25 UTC 2026","504","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Mon Jan 19 13:26:23 UTC 2026","Mon Jan 19 13:26:25 UTC 2026","2123","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"passed","Mon Jan 19 13:26:23 UTC 2026","Mon Jan 19 13:26:25 UTC 2026","2193","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Mon Jan 19 13:26:25 UTC 2026","Mon Jan 19 13:26:25 UTC 2026","490","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
