"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 26 13:25:33 UTC 2026","Mon Jan 26 13:25:34 UTC 2026","552","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"passed","Mon Jan 26 13:25:31 UTC 2026","Mon Jan 26 13:25:33 UTC 2026","2085","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Mon Jan 26 13:25:33 UTC 2026","Mon Jan 26 13:25:34 UTC 2026","529","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Mon Jan 26 13:25:31 UTC 2026","Mon Jan 26 13:25:33 UTC 2026","2029","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Mon Jan 26 13:25:33 UTC 2026","Mon Jan 26 13:25:34 UTC 2026","544","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Mon Jan 26 13:25:31 UTC 2026","Mon Jan 26 13:25:33 UTC 2026","2026","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
