"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Nov 18 13:07:47 UTC 2025","Tue Nov 18 13:07:47 UTC 2025","255","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"broken","Tue Nov 18 13:07:45 UTC 2025","Tue Nov 18 13:07:47 UTC 2025","2097","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"broken","Tue Nov 18 13:07:47 UTC 2025","Tue Nov 18 13:07:47 UTC 2025","239","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"broken","Tue Nov 18 13:07:45 UTC 2025","Tue Nov 18 13:07:47 UTC 2025","2094","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"broken","Tue Nov 18 13:07:47 UTC 2025","Tue Nov 18 13:07:47 UTC 2025","252","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"broken","Tue Nov 18 13:07:45 UTC 2025","Tue Nov 18 13:07:47 UTC 2025","2090","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
