"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Sep 14 12:56:03 UTC 2025","Sun Sep 14 12:56:07 UTC 2025","3943","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Sun Sep 14 12:56:03 UTC 2025","Sun Sep 14 12:56:07 UTC 2025","3941","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Sun Sep 14 12:56:07 UTC 2025","Sun Sep 14 12:56:08 UTC 2025","620","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"passed","Sun Sep 14 12:56:03 UTC 2025","Sun Sep 14 12:56:07 UTC 2025","3990","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Sun Sep 14 12:56:07 UTC 2025","Sun Sep 14 12:56:08 UTC 2025","616","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Sun Sep 14 12:56:07 UTC 2025","Sun Sep 14 12:56:08 UTC 2025","604","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
