"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 09 17:44:50 UTC 2025","Tue Sep 09 17:44:50 UTC 2025","503","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
"failed","Tue Sep 09 17:44:50 UTC 2025","Tue Sep 09 17:44:50 UTC 2025","487","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"failed","Tue Sep 09 17:44:45 UTC 2025","Tue Sep 09 17:44:50 UTC 2025","4871","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"passed","Tue Sep 09 17:44:45 UTC 2025","Tue Sep 09 17:44:50 UTC 2025","4920","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Tue Sep 09 17:44:50 UTC 2025","Tue Sep 09 17:44:50 UTC 2025","501","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Tue Sep 09 17:44:45 UTC 2025","Tue Sep 09 17:44:50 UTC 2025","4871","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
