"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 10 13:03:56 UTC 2025","Fri Oct 10 13:03:56 UTC 2025","540","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaTestNGDataProvider","Create account using TestNG data provider",""
"failed","Fri Oct 10 13:03:56 UTC 2025","Fri Oct 10 13:03:56 UTC 2025","520","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","validSignupTest","Valid signup test -- json has multiple data",""
"passed","Fri Oct 10 13:03:53 UTC 2025","Fri Oct 10 13:03:56 UTC 2025","2654","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTest","Creat account with valida data",""
"failed","Fri Oct 10 13:03:53 UTC 2025","Fri Oct 10 13:03:55 UTC 2025","2587","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayloadViaPaths","Create account using JSON payload with constants",""
"failed","Fri Oct 10 13:03:53 UTC 2025","Fri Oct 10 13:03:55 UTC 2025","2587","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","accountCreationTestViaJsonPayload","Create account using JSON payload",""
"failed","Fri Oct 10 13:03:56 UTC 2025","Fri Oct 10 13:03:56 UTC 2025","545","Parallel Test Suite","API Tests","com.api.tests.AccountCreationTest","com.api.tests.AccountCreationTest","duplicateEmailTest","Duplicate email test",""
